item_no,price,rating,title
233347,104.73,0.0,Osprey Heritage Simplex 20 Pack
199159,135.73,2.5,Komperdell Carbon C3 Pro Compact Trekking Poles - Pair
233344,21.73,0.0,Osprey Hydraulics Lumbar Reservoir - 1.5 Liters
229125,119.73,0.0,Dragon Baile XL Polarized Sunglasses
227752,9.73,3.0,PackTowl Luxe Face Towel
229022,19.73,2.3,Klymit Pillow X
233756,49.73,0.0,Tifosi Podium XC Sunglasses
230610,14.73,3.0,Sea to Summit XL-Bowl
233754,49.73,0.0,Tifosi Seek FC Sunglasses
193072,162.73,3.8,ALPS Mountaineering Acropolis 3 Tent
205571,113.73,0.0,Mountain Equipment Starlight II Sleeping Bag - Women's Long
184999,43.73,2.8,ALPS Mountaineering Dash Table
193078,128.73,4.0,ALPS Mountaineering Mystique 2 Tent
227720,99.73,3.4,Coleman OneSource Heated Stadium Seat with Rechargeable Battery
234212,104.73,4.9,The North Face Wawona Fuzzy Blanket
233345,134.73,0.0,Osprey Heritage Aether 30 Pack
171846,48.73,3.5,Mountain Summit Gear Self-Inflating 1.5 Camp Sleeping Pad
185076,27.73,0.0,ALPS Mountaineering Torrent Dry Bag - 50 Liter
205578,77.73,2.0,Mountain Equipment Lunar II Sleeping Bag - Women's
131197,86.73,3.6,Mountain Summit Gear Self-Inflating 3.5 Camp Pad - Extra Large
205574,132.73,4.0,Mountain Equipment Starlight I Sleeping Bag - Women's
229814,289.73,5.0,Marmot WarmCube Gallatin 20 Sleeping Bag - Long
233346,109.73,0.0,Osprey Heritage Scarab 30 Pack
195822,11.09,4.7,REI Co-op Multi Towel Lite
891193,292.39,4.0,MSR Guardian Purifier
233808,22.49,4.7,YETI Rambler Vacuum Pint Glass with MagSlider Lid
220664,55.89,4.0,REI Co-op Trailmade Self-Inflating Sleeping Pad
203551,6.89,4.6,REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 16 fl. oz.
216796,499.99,4.5,Garmin Forerunner 955 Solar
215311,99.89,5.0,Nikon Prostaff P3 10 x 42 Binoculars
215590,48.89,4.4,Mountain Summit Gear Quilted Chair
201637,74.89,4.7,Exped Dura 3R Sleeping Pad
152786,251.29,4.6,Sea to Summit Spark Ultralight 40F Sleeping Bag
203909,18.69,3.9,Petzl Tikkina Headlamp
202274,209.29,4.0,REI Co-op Skyward 4 Tent
170456,33.69,4.4,NEMO Fillo Pillow
193019,48.89,4.4,REI Co-op Kindercone 25 Sleeping Bag - Kids'
207322,20.99,4.8,Owala FreeSip Vacuum Water Bottle - 24 fl. oz.
171850,111.73,4.1,Mountain Summit Gear Northwood Series II 1-Person Backpacking Tent
168410,76.73,3.3,ALPS Mountaineering Oasis Sleeping Pad
227789,119.73,4.7,MSR Titan 2 Pot Set
233755,44.73,5.0,Tifosi Podium XC Sunglasses
230603,29.73,0.0,Sea to Summit Mosquito Pyramid Net Shelter
205587,116.73,0.0,Mountain Equipment Transalp Down Sleeping Bag - Long
233348,49.73,0.0,Osprey Heritage Waist Pack
184981,208.73,3.4,ALPS Mountaineering Camp Creek 6 Tent
227753,15.73,3.5,PackTowl Luxe Hand Towel
228463,18.73,3.7,Mazama Designs INTAKE LT Reservoir - 2 Liters
205563,152.73,0.0,Mountain Equipment Nova IV Sleeping Bag - Women's Long
223991,219.73,5.0,Marmot Ollan 20 Sleeping Bag - Men's
151561,81.73,4.0,ALPS Mountaineering Baja 20 Pack
229023,12.73,4.0,Klymit V Seat
174089,163.73,1.8,Mountainsmith Upland 6 Tent
234175,174.73,0.0,Granite Gear Perimeter 50 Pack
153362,104.89,4.4,MSR PocketRocket Deluxe Stove Kit
207321,14.99,4.4,Owala Flip Kids Vacuum Water Bottle - 14 fl. oz.
183035,201.69,4.5,Selk'Bag Pro Wearable Sleeping Bag
185550,160.29,4.2,REI Co-op Traverse 60 Pack - Men's
128867,78.69,4.6,MSR PocketRocket 2 Mini Stove Kit
185186,66.69,4.9,HEST Camp Pillow
120668,66.39,4.9,SILKY Bigboy 2000 Folding Saw
228248,22.49,4.4,Stanley AeroLight Transit Water Bottle - 16 fl. oz.
215316,139.89,4.6,Nikon Prostaff P7 8 x 30 Binoculars
168490,34.89,4.5,REI Co-op Trail 5 Waist Pack
882198,174.89,4.2,Caddis Rapid Shelter - 10' x 10'
219859,69.99,4.0,Poler Reversible Poncho
186019,104.29,4.1,REI Co-op Camp Prep Table
830342,149.89,4.4,MSR WhisperLite Universal Backpacking Stove
218023,67.39,4.5,Gregory Nano 22 H2O Hydration Pack
200653,299.89,4.2,NEMO Aurora Highrise 4P Tent
200654,374.89,4.1,NEMO Aurora Highrise 6P Tent
159024,90.89,4.2,Mountain Summit Gear Heavy-Duty Roll-Top Table - Large
158399,27.89,4.7,REI Co-op Trailsmith Gloves
204533,55.89,4.4,REI Co-op Cool Trail Split Pack Cooler
218021,59.89,4.7,Gregory Nano 18 H2O Hydration Pack
204107,314.89,4.3,Big Agnes Spicer Peak 4 Tent
168489,20.89,4.7,REI Co-op Trail 2 Waist Pack
178736,74.89,4.1,Petzl IKO Core Headlamp
152784,174.29,4.5,Sea to Summit Traverse TvIII 15 Sleeping Bag
187693,230.89,3.6,Eureka Copper Canyon LX 6-Person Tent
211627,599.99,4.6,Garmin epix (Gen 2) Multisport GPS Watch
186712,299.89,4.2,NEMO Roamer Sleeping Pad - Double
203240,247.39,4.6,Gregory Deva 60 Pack - Women's
234428,41.73,0.0,Cedar Ridge Venture Sleeping Pad
215313,159.89,4.6,Nikon Prostaff P7 10 x 42 Binoculars
228464,22.73,4.3,Mazama Designs INTAKE Reservoir - 2 Liters
213431,166.73,3.0,ALPS Mountaineering Paragon 2 Tent
193085,178.73,2.0,ALPS Mountaineering Camp Creek 4 Tent
234024,44.73,0.0,MPOWERD Luci Beam 2-in-1 Solar Headlamp and Flashlight
232442,224.73,0.0,Big Agnes Deep Creek Tarp
232273,29.73,0.0,Princeton Tec Snap Solo Headlamp
230607,34.73,0.0,Sea to Summit Ultra-Sil Stuff Sack - Set of 3
205586,123.73,4.0,Mountain Equipment Transalp Down Sleeping Bag
233485,29.73,0.0,Pepper's Carlita Polarized Sunglasses - Women's
230608,12.73,5.0,Sea to Summit X-Bowl
184963,46.73,4.2,ALPS Mountaineering Adventure Chair
213473,148.73,0.0,ALPS Mountaineering Westwind Rocker Chair
184971,56.73,3.3,ALPS Mountaineering Aura +35 Sleeping Bag - Long
216296,125.29,4.3,REI Co-op Camp Dreamer XL Self-Inflating Deluxe Bed
216794,299.99,4.3,Garmin Forerunner 255S Music
205174,249.89,4.8,Nikon Monarch M5 8 x 42 Binoculars
211692,449.99,4.3,Garmin fenix 7S Multisport GPS Watch
